title,chapter_number,summary
Sage of the Karin Tower,88,"The cover of this chapter shows Korin holding his staff with the pot containing the Sacred Water on it.
 Korin appears Goku makes his way to the top of the tower, and there is a huge platform supporting a palace at the top. He makes his way up from the tower through a hole in the floor, and wonders where the power-up is amongst all this weird stuff. As he looks through some weird water barrels, a voice calls him to come up. Goku leaves the room and heads upstairs to a big round room with no walls, just railing and a ceiling supported by pillars. There is an old cat standing there with a staff, who says he is impressed with the speed this chibi got up here, and Goku tells him he is even more of a chibi. Goku wants to know where the sen’nin is, and cat says it is him, but he is more of a cat hermit.
 Korin stops Goku from getting the Sacred Water Goku asks about the strange water that powers you up, because he wants to drink it. “Ah, the Super Holy Water.” The cat points to it, in a jar atop the stand in the middle of the room. He wants to know why Goku wants it, and Goku starts to explain, but the cat tells him to hush, then stares at him a minute. “Indeed. You are gathering the Dragon Balls to return Upa's father back to life. But you can not do that unless you become stronger than that Tao Pai-pai person…” Goku freaks out, and wants to know how he knew that without him talking, and the cat says he can read minds, since he is a sen’nin. The cat says his intentions are not impure.
 Goku walks over to the stand, and climbs up and prepares to take the jar with the strange water, but the cat wonders if he can drink it. Goku asks if he means it is yucky, and the cat says it is because he is going to interfere. He runs over and knocks Goku off the stand, and Goku is pissed, and thinks the cat is a bad guy. Goku jumps up for the jar again, but the cat jump kicks him back to the ground. Goku is pissed about this, and the cat explains that he needs to avoid his interference.
 Korin gives Goku a Senzu Bean Goku does the old point and look trick, and then jumps up for it while the cat's head is turned, but the cat just bonks him in the face with his staff. Then the cat puts the jar on the end of his staff, and starts waving it around, and Goku starts chasing him all over the place until he gets tired out. Goku says he needs to eat, and the cat decides to feed him. He tosses Goku a bean, and says it is a senzu, and one seed is worth ten days of food. Goku decides to eat it, and he is all filled up. He says he can get the jar now, and rushes at the cat, but still can not get it.
 Goku is exhausted now, and asks if he is the first to come up here. The cat says just one other person did, three hundred years ago, but Goku interrupts and asks him how old he is; eight hundred years. Goku says that it is way older than he is. The cat continues and tells Goku that this person was his teacher, but Goku does not know who he is talking about, and the cat says he means Muten Rōshi. Goku is amazed that Kame-Sen’nin got strong from drinking the strange water, and asks the cat if he happens to be a really famous person. The cat says to call him Karin-sama, and Goku asks how long it took Kame-Sen’nin to get the water. He holds up three fingers and Goku is amazed that it was three minutes. “No. Three years.”
"
A Drink of Water,89,"The cover of this chapter shows Goku standing in the center with Korin standing in the background.
 Goku uses the Afterimage Strike on Korin Goku can not believe it took Kame-Sen’nin three years, and Karin wonders how long it will take him. Goku says he can not wait that long, and decides to get serious. He hops around leaving some afterimages, and Karin recognizes Zanzōken. Karin jump kicks up into the air, missing a Goku, and Goku dives at mid-air Karin from above, but that was just an afterimage, and Goku dives into the ground. Karin knows how to counter Zanzōken. Goku can not believe he is already out of breath, and Karin explains that the air is thinner up here. Karin also says he probably has not noticed how much stronger he has gotten just climbing up Karin Tower.
 Goku claims the Sacred Water, much to Korin's surprise Then Karin holds up Goku's pouch, and Goku tells him to give it back. Instead, though, he throws it over the edge, so Goku runs down the tower to get it back, since it would be awful if the Red Ribbon Army got it. He grabs it, and scurries all the way back up the tower and yells at Karin for that. Karin laughs, and explains that it took Goku one day to get up here the first time, but this time, a round trip took him only three hours. Then they start the chase all over again, until night falls. They both go to sleep and Goku wakes up. He goes over to take the water, but then decides against it. Karin thinks to himself that he is honest, unlike Muten Rōshi.
 The chase continues the next day. Goku is determined to get it today, and so he rushes at Karin, and keeps swinging at him. Goku starts tickling Karin in mid-air when they are near the railing, and he accidentally drops his staff and the jar over the edge. Goku leaps off to grab it, and catches onto the railing with his tail. Goku asks if it is alright to drink it now, and Karin gives him the okay. He gulps it down, but he thinks that nothing has happened. Karin says the Super Holy Water is really just ordinary water, and Goku thinks he has been tricked. Karin says it was not a trick; he has already gotten stronger from climbing up and down Karin Tower and chasing him around. “Now then, test out the fruits of your training by returning to the lower world!” Goku is very happy, and he thanks him. As he leaves, Karin thinks how Goku has now surpassed Muten Rōshi.
"
Son Goku Strikes Back!,90,"The cover of the chapter shows Mercenary Tao and Goku, with the both of them in a fighting stance.
 At the foot of the tower, Upa is running around with a little tomahawk and looks up, wondering if Goku made it to the top since it has been three days. Meanwhile, Tao Pai-pai’s outfit is finished, and he prepares to leave for the Dragon Ball, when the guy asks him to pay. Tao Pai-pai can’t believe he’d ask the world’s famous number one hitman, Tao Pai-pai, to give him money. The tailor says he needs money to live, but Tao Pai-pai decides on an alternate payment. He jabs him in the forehead with his finger, killing him.
 Goku launches a counterattack on Mercenary Tao Upa is still looking at the tower, when Tao Pai-pai's pillar crashes into the ground again. Tao Pai-pai tells him to give up the one remaining Dragon Ball, and Upa throws the tomahawk at him. Tao Pai-pai just ducks his head to the left, and then sweep kicks Upa. Tao Pai-pai then holds him up in the air by the neck, and asks about the ball, but Upa won’t say. So he thinks this stubborn brat wants to die, and throws him towards the tower. Goku is diving straight towards the ground, calls for Kinto-Un, and manages to catch Upa before he crashes into the tower.
 Upa’s very happy to see Goku and Tao Pai-pai is in shock. Goku tells Upa that he got stronger, and tells him to stay on the cloud. Tao Pai-pai asks how he survived his Dodonpa, and Goku says he was saved by his Dragon Ball. Tao Pai-pai says he got lucky, but a miracle will not happen a second time. He tells him to quietly hand over the Dragon Ball. Goku refuses, and Tao Pai-pai tells him it’ll be only three seconds this time. Tao Pai-pai comes at him, but Goku leans backwards and Tao Pai-pai punches right over him, and Goku knocks him straight into the air. Goku stands up again, then jumps straight up, and kicks Tao Pai-pai mid-air into the tower. Goku says that three seconds are already up, and Tao Pai-pai can not believe how he has changed in three days. Goku says he trained at the top of the tower, and Tao Pai-pai wonders about the sen’nin that lives up there. Tao Pai-pai thinks it’ll be interesting to see what’s come of the little exercise the kid’s had.
"
Battle in the Sanctuary!!,91,"The cover of the chapter shows Mercenary Tao and Goku, with the both of them in a fighting stance.
 Tao fires a Dondon Ray at Goku Tao Pai-pai keeps bragging, and Goku tells him to quit yapping and come on. After a little more talking, Tao Pai-pai comes at Goku, but Goku blocks all of his attacks, and kicks Tao Pai-pai in the face. Tao Pai-pai comes at him again, but Goku jumps up, so Tao Pai-pai jumps in the air, too, and punches Goku towards the tower. Goku kicks off of it, and hits Tao Pai-pai with a punch of his own. Goku kicks off the ground, then kicks Tao Pai-pai headfirst into the ground. Tao Pai-pai comes back up, his clothes a bit tattered, and pulls off his shirt. He says he was going easy on him, and fires off a Dodonpa, but Goku stands to catch it this time. Goku gets pushed back a few yards, and other than his hands being a little sore, he is fine this time. Tao Pai-pai is in shock, and Goku says that his Kamehameha was ineffective last time, but now it’s Tao Pai-pai’s attack that does not work.
 Goku breaks Tao's sword in half with his Power Pole Upa’s happy with the situation, and Tao Pai-pai pulls a capsule from his pants. Out pops a sword and he starts swiping at Goku with it, who is just barely able to back out of the way. Tao Pai-pai slices through a tree that Goku’s hanging onto, and thinks it was great to use his sword. Upa hops off the cloud and runs into his teepee and throws Goku his Nyoi-Bō to even the score. Goku catches it mid-air, while avoiding Tao Pai-pai’s swipes, and lands on the ground. Tao Pai-pai comes at him, but one whack from the Nyoi-Bō is enough to cut the sword in half. Goku throws Nyoi-Bō aside and says he’ll defeat him with his bare hands.
"
Taopaipai at the Brink,92,"The cover of the chapter shows Goku and Mercenary Tao with intimidating and serious looks on their face.
 Tao's grenade is thrown back and explodes in his own face “You're going to defeat me, the world's number one hitman, Tao Pai-pai, with your bare hands…!!” Goku says that is right, and Tao Pai-pai keeps talking crap, but Goku tells him to just come on. Tao Pai-pai comes at him again and punches Goku in the face, then kicks Goku backwards. He delivers a hard shot to the gut, and starts pummeling Goku. Tao Pai-pai holds Goku up by the neck as Upa wonders what is wrong with him, and he kicks Goku up into the air. Tao Pai-pai jumps up after him, knocks Goku back into the ground, and dives straight down, kneeing him in the gut.
 Tao Pai-pai laughs about his victory, but then Goku stands up smiling, and compliments his work. Tao Pai-pai thinks he is a freak, and Goku says it is time for his counterattack. Goku rushes at him, and delivers a slobber knocking blow to the gut, then chops at each side of Tao Pai-pai's neck with his hands, and kicks Tao Pai-pai in the face, knocking a tooth out. Tao Pai-pai wonders what to do about this, and gets an idea. Tao Pai-pai drops to his knees and begs for forgiveness, and says he will not do bad things anymore. Goku does not know what to do, and looks to Upa, then Tao Pai-pai makes his move. He throws a grenade at Goku, then jumps straight up to avoid it, but Goku just kicks it back up at Tao Pai-pai, and it explodes. Goku and Upa are very excited that Tao Pai-pai has finally been defeated. Goku straps his Nyoi-Bō on his back, and tells Upa to wait here. “I'll definitely gather all of the Dragon Balls to bring your Dad back to life!!!”
"
Goku's Charge,93,"The cover is Goku and Bulma together. Goku is seen riding his Nimbus, and Bulma is on capsule machine number 341. The cover art for this chapter is also featured in the Akira Toriyama - The World artbooks and Daizenshuu 1.
 Goku looks at the Dragon Radar, and wonders why the next two Dragon Balls are together. He realizes that place must be the Red Ribbon Army’s house, and decides he’ll go there and beat up everyone. Upa tells him he’s crazy, but Goku says he has to go there to get the Dragon Balls. Upa wants him to run away if things get dangerous and Goku calls for Kinto-Un. At Red Ribbon Headquarters, Colonel Violet has returned with the Five-Star Ball she found using the enemy’s Radar, and says it was really easy. Red tells Black to give that Radar to General Copper so he can find the next one. A guy notices that the four Dragon Balls have started moving, and Red thinks it must be Tao Pai-pai.
 Colonel Violet brings a Dragon Ball Goku continues along on Kinto-Un, when a little robot plane flies up to him. At Kame House, Bulma has set up some radar satellite equipment, and tells Kame-Sen’nin and Lunch that Son-kun’s on the TV. They come and look, and Bulma switches the TV to a radar/map screen, and says Goku’s headed in the direction of two other Dragon Balls. Lunch wonders if he isn’t headed towards Red Ribbon’s headquarters, so Bulma decides to send the little robot plane to go find out, leaving Goku behind.
 The little robot plane is now above Red Ribbon Headquarters, and Bulma switches the image to show the base. Then a plane destroys the little robot plane, and some guy in the control room wonders if it wasn’t Tao Pai-pai, but they say it was just a spy plane. Black says that the four Dragon Balls are here, and Red’s glad that Tao Pai-pai’s arrived. Goku spots their base, and pulls out the Nyoi-Bō, saying he’s going to get rowdy. The guy in the plane spots Tao Pai-pai, but as he gets closer he realizes it’s not him.
 Back at Kame House, Bulma says Son-kun is going to be killed, and Kame-Sen’nin decides they should go help him out. Umigame points out that they have no transportation. Bulma decides she’ll call Yamcha, but Umigame says they have no phone. She gets pissed, until Umigame tells her she could probably build one, and so she does. Dr. Brief picks up, wanting to tell her a joke, and she yells at him to put Yamcha on the line. She explains the situation, and apparently Yamcha knows of the Red Ribbon Army, as does Oolong. Yamcha yells at Pu’er and Oolong, telling them that they’re going to go help Goku, noting that he’s been getting bored here. Goku blows up the plane, and then one of the guys in the control room turns on the Laser Monitor and sees him. A bear guy yells to Red that it’s not Tao Pai-pai who has the four balls, but Son Goku.
"
Attack from the Sky,94,"The cover of the chapter shows Goku smiling with the Red Ribbon Headquarters in the background.
 Goku flies in to start his assault, and Red’s pissed. Goku jumps in and kicks one guy, then jumps between two others and kicks them in the face. Goku continues down a hall until he comes to a balcony, then checks the radar and hops across to another roof. Some guys spot him and start firing at him, but he continues hopping until he gets to a tower. Three little air tanks show up and start firing at him, and Goku hops onto the closest one and knocks the pilot out. He then jumps off and lets it crash into a roof, then fires off a Kamehameha at the next one, making it explode, and causing the third one to crash into a tower.
 Goku battles the Red Ribbon Army Goku lands on the ground and knocks out another soldier, while this tiger guy yells out that he’s on the ground now. The bear guy tells Red he’s headed for Building Eight now, and Black suggests they take refuge below ground. Red thinks he’s joking, hiding from one brat, but Black says that Tao Pai-Pai was defeated by him, and Red screams out that the Red Ribbon Army is invincible. Goku keeps running along, all the ground soldiers are out, and the radar says the Dragon Balls are in Building Eight. A sniper starts firing at him, and Goku just gets pissed. The bear guy says he’s entered Building Eight, and Red and Black hurry that way.
 Yamcha arrives at Kame House in a plane and tells everyone to get in. Inside, Bulma and Oolong complain, they don’t see why they have to go, and Yamcha says they can all do something useful, Goku’s always helped them. Umigame asks “Even me?”, and Yamcha says nothing, and asks about Kuririn. Kame-Sen’nin says he went off swimming to go shopping, and Yamcha says he was fairly strong, they could use him.
 Red and Black have made it to the room with the Dragon Balls, and Red refuses to give them up. Yamcha and the others pick up Kuririn and tell him about helping Goku. He sees Lunch (bad) all hyped up about kicking some ass and asks her not to sneeze. Pu’er tells Yamcha it’ll be another forty minutes before they arrive. Meanwhile, Goku elbows another soldier in the face and sees that he still needs to go higher. He runs in from the balcony into this room, but there are no stairs. So, he jumps through the ceiling, and Red’s really pissed as he watches Goku beat up all the soldiers on the monitor.
"
The Fall of Commander Red,95,"The cover of the chapter features Goku in a martial art stance, with a Battle Jacket, Commander Red, and Staff Officer Black in the background.
 Commander Red is shot in the head Goku kicks a soldier in the face, then punches another one, and kicks a third in the head. Some soldiers behind a table fire a rocket at him, and one of them thinks he is dead. But Goku just gets pissed and rushes at them, smashing the table up against the wall, squishing the soldiers. The other two soldiers in the room run away, and Red is pissed watching this go on. Black says all their remaining soldiers are running away, and Red can not believe this is all happening just because of one brat.
 Staff Officer Black performing a coup d'état Red can not stand it, all he really wanted to make himself taller. Black can not believe they were gathering the Dragon Balls just for his height, when they could rule the world, but Red says being short makes him unpopular with the gals. He talks about how he was teased when he was in school, and Black says the Red Ribbon Army should be conquering the world. Red tells him to shut up, since he is the commander. Black can not take it anymore, and he shoots Red in the head. Black says he is in charge now, and then Goku shows up.
 Black offers Goku the opportunity to share the Dragon Balls and take over the world, and Goku says no, he is going to return Upa's father to life. Black tries to convince him further, but Goku still refuses. So, they have to fight. Black swings at him, but Goku dodges, so he kicks at Goku, but he jumps over that too. Goku charges at Black and elbows him in the gut. Goku yells at him to give in, but instead he pulls out a capsule, and out pops a Battle Jacket (a giant mecha). Black hops in and punches Goku hard in the face. Elsewhere, everyone else continues towards Red Ribbon Army headquarters.
"
The Triumph!,96,"The cover of the chapter features Goku jumping for joy and victory.
 Staff Officer Black's Battle Jacket explodes Black fires a blast at Goku from his Battle Jacket's arm. Then the other arm grabs him, and tosses him through the wall outside to the terrace. Black flies through the ceiling, and fires another blast down at Goku from the air. Black sees nothing there, and starts cheering, but Goku is still alive atop a tower. Goku hops right onto the front of the Battle Jacket and sticks his tongue out at Black. Black tries to make the hand punch him, but Goku jumps out of the way, and Black punches himself in the face. Goku laughs at him while he is hanging from a rail on the Battle Jacket's stomach, and then Black rockets up even higher.
 Goku looks up at him from a roof, and Black leans forward and fires a huge missile from his back. Goku jumps up and kicks it, hurting his leg, and the missile blows up off in the distance. Black decides to fly away, but Goku jumps off the roof after him. Goku flies straight through the Battle Jacket and it explodes. Goku is safe on Kinto-Un, and he gets the two Dragon Balls from inside the building, as the others hurry to come help him out.
"
The Lost Dragon Ball,97,"The cover of this chapter shows Yamcha driving a car with Puar and Krillin. The cars number plate says ""Reliant"". Goku is seen flying on the Nimbus next to it.
 Goku informs his friends of his victory over the Red Ribbon Army After single-handedly defeating the Red Ribbon Army, Goku tries to use the Dragon Radar to locate the remaining Dragon Ball, but is surprised when he learns that it does not appear on the radar. Meanwhile, Yamcha lands the airplane a distance. Muten-Rōshi stops them from rushing in, saying they need a plan, and Oolong pretends to have a stomachache to get out of going in. They bicker as they try to plan how to enter, when Kuririn tells them to get down, as something is flying towards them. Puar quickly changes the plane back into a capsule and they all hide. They then notice that the figure appears to be Goku on the Flying Nimbus. Goku, meanwhile muses that the Dragon Radar is broken and wants to have Bulma fix it, but he does not exactly know the way back. The others call out for him and catch his attention, and he flies down to them. They initially think Goku has given up on invading them, but they are all shocked to learn that Goku invaded and defeated them on his own, obtaining six Dragon Balls. Goku asks Muten Roshi if his Grandpa Gohan climbed Korin Tower too, and Roshi is amazed to discover that Goku climbed up Korin Tower on his own, concluding that this is how Goku got so much stronger. Goku asks Bulma to fix the Dragon Radar, and Goku explains that he is gathering the Dragon Balls to resurrect Bora, the father of his friend Upa. Bulma agrees to but says she cannot fix it out there, so they fly to the Kame House. During the flight they all ponder Goku's newfound strength, and Muten Roshi believes that Goku will only get stronger and stronger.
 Back at the Kame House, Bulma has opened up the Dragon Radar and discovers that not one part of it has been broken. Goku points out that it showed all seven Dragon Balls before, and Bulma concludes that something might have swallowed it. She explains that if its electromagnetic waves are surrounded by a living being, the radar will not pick it up. Goku is about to give up, when Muten Roshi tells them they can go to see Fortuneteller Baba, as she will surely be able to locate it. Bulma decides that she wants to go home, and Oolong does not want to go either, so Yamcha, Puar, Kuririn and Goku will make the journey. They set off on the plane to find Fortuneteller Baba and locate the last Dragon Ball.
"
The All-Seeing Crone,98,"The cover of this chapter shows Fortuneteller Baba floating on her Crystal Ball. Goku, Puar, Yamcha and Krillin can be seen on either side of her.
 Goku and friends wonder why they cannot see the seventh Dragon Ball on the Dragon Radar, and Master Roshi suggests they go see Fortuneteller Baba. On the ride there, Krillin and Goku discuss whether they believe the fortuneteller will be able to locate the Dragon Ball or not. Yamcha remarks on the poor state of Goku's Turtle School Uniform and they stop down in a nearby town to get new clothes for Goku, so as to make him more presentable. They first have Goku dressed in a golfer's outfit, which he strongly dislikes, prompting them to laugh. Goku tells the store owner that he is fine with what he has been wearing, and the store owner agrees to make him a new gi. Goku decides to go and get Upa as a time passer, and flies off on the Flying Nimbus.
 The Dragon Ball Gang arrive at Fortuneteller Baba's Palace Goku goes to Bora and Upa's tipi at the base of Korin Tower, and calls out for Upa. The two boys reunite, and Goku tells Upa to come with him. The two boys set off to reunite with the others on the Flying Nimbus. Upa admits that it is his first time leaving the base of Korin Tower, and is a little scared, but Goku tells him it is fun and reassures him. Goku introduces Upa to the others when he returns, and Krillin remarks that Upa is a cute girl, but discovers when Goku asks Upa if he is a boy that he was wrong. Yamcha is frustrated when Goku decides to change out in the open, and yells at Goku when the latter tries to scratch his penis. Goku happily changes into his new uniform and thanks Yamcha, and they set off once more.
 Fortuneteller Baba Goku's group searches for Fortuneteller Baba's Palace, and they soon locate it. They are surprised to discover they are not the only ones at the fortuneteller's palace as they see others waiting nearby. The Ghost Usher asks if they are all together, and seems oddly pleased when they say they are. The Ghost Usher asks them to wait until it is their turn. While they do, Yamcha notices the line seems to be made up only of strong men, and Krillin hopes that they are all just from the same dojo. They watch a rich-seeming couple leave, and their spirits are fortified at seeing that not all of the visitors are big and strong. They wonder why the other strong visitors seem so pumped. They hear strange noises and see the guys from before return, injured. Stunned, they all follow the Ghost Usher in, where they meet Fortuneteller Baba. Goku muses that her name is weird, and she snaps at him that it's only a nickname. Goku tells her there's something they want her to find, and she asks for ten million Zeni. Yamcha tells her they do not have enough money, and Baba says she figured as much and leads them to an outdoor ring.
 Baba then tells the apprehensive team that if they want her to tell them where the object they are looking for is, they will have to fight one at a time with each of her fighters. If they win, they will move onto the next fighter, but if someone in Goku's party loses, they must let another in the group take their place. Goku's group is hopeful once more, and Krillin points out that three of them made it far in the last World Martial Arts Tournament. Baba seems excited by this, and Goku's group is confident that they will make it.
"
The Five Champions,99,"The cover of this chapter shows Puar, Krillin, Goku, Yamcha and Upa standing in a group.
 Baba tells them they should stop, they are only kids, but Kuririn and Yamcha are not worried. Puar and Upa say they are not fighters, though, and Baba wonders about only three of them going up against her extremely strong five. Kuririn’s still really confident, and Yamcha asks about the rules. “Basically, if you give up or fall into the lake, it’s a loss.”
 Fangs the Vampire bites Krillins head Baba calls for the match to start, and Kuririn is going first. He tells Goku he will probably beat up all five himself, and then Baba calls out Dracula Man. A bat flies out, and then turns into a freaky vampire dressed like a kick boxer. Kuririn thinks he looks frail, and Baba calls for the match to begin. Kuririn flies at him with a kick, but Dracula Man just jumps up and turns into a bat again. He starts flying all over the place, and Kuririn can not keep up with his speed. Then, he jumps on Kuririn's back, as a person again, and bites down on his head.
 Goku tells Kuririn to shake him off, and Baba laughs and says he needs to hurry and give up before he bleeds to death. Kuririn then leaps backward, like a back flip, with Dracula Man still on his head, and Dracula Man let's go of him and Kuririn lands headfirst. Baba offers him a blood transfusion after he loses (the ghost has a bag of blood), but Kuririn still wants to go, and starts to get pissed, but blood starts squirting out from the holes in his head. Yamcha yells for Kuririn to calm down, so he starts praying, but the blood just leaks out instead of shooting up. Everyone laughs at him, and he starts to get really pissed, and loses so much blood he starts to get lightheaded. Dracula Man takes the opportunity to kick him into the lake.
 Fangs the Vampire is defeated The ghost gives him the blood transfusion, and then Kuririn's head is all taped up. Goku tells him he lost too easily, and Kuririn yells at him, then Baba asks who will fight Dracula Man next. They all discuss it, and then Puar and Upa step up. Goku asks if they can not fight together since they are so small, and Dracula Man goes for it (he can have blood from both of them). Yamcha tells them the plan again, and Upa chews on something. Then they get in the ring, and Dracula Man runs their way, and Upa breathes garlic in his face. Dracula Man really hates that, and so he turns into a bat, and then flies down towards Puar. Puar quickly transforms into a porcupine, but Dracula Man has him in his mouth. Dracula Man spits him out and looks up; Upa is standing in the form of a cross. Dracula Man turns into a bat again and tries to fly away, so Puar transforms into a hand and swats him down into the lake.
"
Battle of the Bleeders,100,"The cover of this chapter shows Yamcha in the center in a fighting pose. Puar, Krillin, Upa and Goku can be seen around him. A small chart is located at the bottom of the cover.
 Yamcha tells Puar and Upa to stay back so he can fight, and Baba notes that they only have two fighters left now, while she has four. But Yamcha says he will defeat the remaining four by himself. Goku is worried about not getting to fight, and Yamcha tells him it has been much longer since he has gotten the chance to fight.
 Krillin shows Bulma's breasts to Roshi Yamcha tells her to bring out the next fighter, and Baba says he is already here. Yamcha does not see him, and Baba says he is the invisible man, Mr. Invisible! Baba calls for the match to begin, and Mr. Invisible starts attacking him. Yamcha swipes at him, but keeps missing, while Mr. Invisible keeps landing hits. Baba wonders where all of his confidence went, and Goku does not understand how Yamcha is getting beaten up with no one else there. Krillin suddenly yells at Goku to go get Master Roshi and Bulma, and Goku asks why. Krillin tells him to not worry about it and just go. Goku flies off on Kinto-Un, and Baba wonders about him using Kinto-Un.
 See Through the Invisible Man is exposed from Roshi's nosebleed Yamcha gets hit again, and says he can just barely hear when he moves. Yamcha hears him chuckle, and manages to kick Mr. Invisible, explaining his strategy. Baba starts singing to distract Yamcha, and Mr. Invisible gets another shot in. Yamcha says that singing makes it impossible to hear the invisible man's movements, and Baba asks if he gives up. “C-crap… If I could just see him…!!”
 See Through the Invisible Man surrenders Goku returns with Master Roshi hanging from one hand and Bulma hanging from the other, and Krillin thinks he is just in time. They ask Krillin what he wants with them, and Krillin says he wants to use them for this match. He positions them so that they are facing each other, and then he gets up on the edge of the ring behind Bulma and waits for it. Krillin pulls Bulma's tube top down to expose her breasts, which makes Roshi's nose bleed, and it squirts all over Mr. Invisible. Yamcha can see him now, and so he uses his Wolf Fang Fist pounding on Mr. Invisible until he holds up a white flag. Everyone is excited, and Bulma slugs Krillin for exposing a maiden's breasts like that, and he says he was helping her boyfriend. Master Roshi says he could have killed him making an old man bleed like that, but thinks he did a good job. Baba compliments them, and laughs about her three remaining fighters.
"
The Devil's Cesspool,101,"The cover of this chapter shows a diagram of who fought who in Fortuneteller Baba's tournament.
 Bandages the Mummy appears Yamcha notices Master Roshi and Bulma are here, and Bulma asks Krillin why they are even having these matches, so he explains Fortuneteller Baba's policy to her. Then Roshi says his “Big Sister” is acting the same as always, and everyone is shocked to hear Baba's his older sister. Baba says he is still the same as always as well, he is still a sukebe (lewd person). Krilllin asks Master Roshi why they are going through such trouble when he could just ask her, but Baba says she wants money or these matches, since they are fun.
 Baba leads them inside for the next match, and on the way, Bulma asks Upa who he is, and Upa introduces himself, and she remembers that Goku is gathering the Dragon Balls to return his father to life. Krillin tells Upa that Bulma is scary, and she yells at him. They head into a building, and up a circular staircase, Master Roshi tells Yamcha they are going to the Devil's Toilet. Yamcha is a bit worried, and asks for some advice, so Roshi tells him, “Don’t die.” They come to a door, and Baba says the competitors need to go in there, and everyone else continues up the stairs.
 Yamcha and Bandages the Mummy battle There are two giant statues of some devil-type figures facing each other in this room with their tongues sticking out, and there is a small gap between the two tongues. Yamcha is in one of the mouths and below that is some gross lava stuff. Baba (who is floating over a roll of toilet paper) drops some meat in, and it disintegrates instantly, showing Yamcha that he does not want to fall in. Bulma thinks this is a messed up family, and then Baba calls out Mummy who comes out of the other mouth. “Sigh, after the invisible man is the mummy…” says Yamcha.
 Baba tells them that whoever says they give up or dies, loses, and then calls for the match to begin. Yamcha thinks he will make use of his speed and technique in this confined space to win the match. He darts across, but so does the Mummy, who jumps over him.  The mummy kicks at Yamcha from behind, but he ducks it, and Yamcha is just barely able to dodge his punches. Then the Mummy hits Yamcha in the face, and nearly knocks him off the tongue, but he manages to catch onto the edge.  The mummy thinks this match has gotten interesting.
"
Goku at the Plate!,102,"The cover of this chapter shows Goku standing, ready for battle. Fortuneteller Baba is seen floating behind him.
 Yamcha surrenders Yamcha crouches, exhausted by the speed of Bandages the Mummy, who taunts him. The others cheer him on, and he attempts to use the Rouga Whowhoken on Bandages, who easily dodges it. Bandages kicks Yamcha's feet out from under him, and jumps on him. It seems as though Yamcha has lost, but then Yamcha throws Bandages off of him and the mummy falls. Yamcha thinks he has defeated the mummy, but then Bandages uses his bandages to catch hold of one of the tongues of the stone demons and swings himself back up. He taunts the stunned Yamcha before hitting him and kneeing him in the stomach. Bandages tells Yamcha to give up or he will drop him into the poison swamp below. Yamcha finally surrenders.
 Yamcha reunites with the others, panting, and he apologizes to Goku for being unable to defeat Bandages. Fortuneteller Baba asks who the last of the fighters in Goku's group is, and Goku eagerly points out that it is his turn. Upa tells Goku to stop, fearful that he will die, but Goku insists on fighting and runs down to the arena. Baba announces the start of the match, and Bandages seems confident he will win, but notices that Goku's stance, though casual, conveys that he has no openings.
"
The Power of Goku,103,"The cover of this chapter shows Goku and Bandages the Mummy in fighting stances. Baba is seen in the corner.
 Goku lands a devastating punch to Bandages the Mummy Goku and Bandages are about to fight one another in Devil's Toilet. Goku confidently urges Bandages the Mummy to attack him, which makes Bandages hesitate for a moment, apprehensive of Goku. Fortuneteller Baba impatiently tells them to start, and Bandages lunges forward and punches Goku, who takes the hit head-on. Goku is kicked by Bandages and hits the head of one of the stone demons while Yamcha, Krillin, Master Roshi, and the others watch on, horrified. Goku lays motionless on the tongue of the stone demon, and Bandages scoffs about how easy an opponent Goku was. Baba states that Goku will lose if he is unconscious and asks for a reply from Goku to confirm whether he is down for the count or not. Goku gets back up, shocking Baba and Bandages, and he eagerly winds up for his turn to hit Bandages. Goku walks forward and Master Roshi and Puar discuss with one another how astounded they are that Goku took no damage from Bandages' brutal attacks.
 Spike the Devil Man Bandages tries to punch Goku, only to miss when the boy ducks to evade the punch. Goku punches Bandages and connects with the mummy's stomach, knocking the wind out of him and seemingly incapacitating the mummy. Goku lifts Bandages with little effort, shocking Baba even further, and Goku asks Bandages to reply. When the latter does not reply, Baba reluctantly declares that Goku has won the match, and the boy cheerfully carries Bandages out of the way so they can prepare for the next match. Goku's friends watch, shocked at how easy the battle was for Goku. They muse that Goku incapacitating the mummy with one blow is impossible, and Master Roshi remarks on Goku's incredible strength. Spike the Devil Man and a masked fighter look on from within a stone demon's mouth, where Spike muses on Goku's strength, but is confident that Goku will not be able to defeat him.
 Baba introduces Akkuman as her fourth contestant, and Goku remarks on the strange appearances attributed to Baba's fighters. Master Roshi comments on it, surprised that Akkuman, who is usually Baba's fifth and final contestant, is out so early, meaning Baba has found an even stronger fighter to surpass him. Baba announces the beginning of the match.
 Akkuman flies in the air above Goku, catching him by surprise. Akkuman taunts Goku and then launches himself at the boy, claws outstretched. Goku counters it with a well-aimed kick that catches Baba and his friends by surprise, and Yamcha remarks on Goku's speed, which has left Akkuman surprised.
"
